Instructor Name,Favorite Quote,Type of Exercise,Level of Difficulty,Music w/ Explicit Lyrics,Class Length,Health Impact,Class Name,Class Description
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on floor poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Basics: Mindful Movements,"Join this yoga basics class focusing on hyperextension. Whether you are new to yoga or an experienced yogi, learn to move with mindfulness and intention as you enhance and refine your practice."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Evening Yoga Flow,Chelsea designed this yoga sequence to help you end your day on a chill note.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,15 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Glutes,"This yoga class focuses on poses that engage, strengthen and/or open up the gluteus muscles, which provide power and stability for walking, running and doing more yoga."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Focus Flow: Hamstrings,"This yoga class focuses on poses that engage, strengthen and/or open up the hamstrings."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Chest Openers,"This yoga flow class focuses on poses that engage and open up the chest. Heart-opening poses are the perfect antidote for all those hours we spend hunched over computers, phones or handlebars!"
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,10 min,heart rate,Breathwork: Bellows Breath,"This class explores bellows breath (in Sanskrit: bhastrika)a traditional yoga technique that draws air in and out of the lungs to generate heat in the body to boost energy levels, strengthen immune and nervous systems, and aid digestive health."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,10 min,heart rate,Breathwork: Four Part Healing,"Start off the New Year fresh by practicing breathwork with Chelsea. This class explores four part healing breath. This class is great for clearing the path, setting your intention and being quite deliberate about your steps each day."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Hips,"This yoga class focuses on poses that help engage, strengthen and open up your hips. A perfect complement to all your hard work on the Bike or Tread!"
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,45 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Camel Pose,"This yoga class focuses on building skills that prepare you for a specific posture. In this class, youll work on camel pose."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,10 min,heart rate,Breathwork: Directed Breath,"This class explains the most basic of breathing techniques. It involves consciously breathing into the different regions of the bodythe belly, the chest and the low back. "
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Evening Yoga Flow,Chelsea designed this yoga sequence to help you end your day on a chill note.
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on floor poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,intermediate,False,10 min,heart rate,Breathwork: Agni Sara Breath,"Combine pranayama (breathwork) and asana (posture) with agni sara breathing. This technique, with its deep contractions of the abdomen and pelvic floor, guides you in harnessing life energies for physical, emotional and spiritual growth."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Floor Poses,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on floor poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,15 min,"heart rate, calories",Focus Flow: Lower Body,"This yoga flow class focuses on poses that engage, strengthen and open up the muscles of the lower body."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,20 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,60 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Focus Flow: Forward Folds,"This yoga class focuses on building skills surrounding a category of related postures. In this class, youll work on forward folds."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,20 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,True,20 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,30 min,"heart rate, calories",Morning Yoga Flow,Chelsea designed this yoga sequence to help you start your day!
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,10 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,beginner,False,15 min,"heart rate, calories",Yoga Flow,"In this active, vinyasa-style yoga class, we'll flow from one pose to the next, linking movements with the breath. Hone your inner focus as you develop strength, flexibility and balance."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Slow Flow,"This is a yoga class where the pace is slower than our other yoga flow classes. Poses are held for longer durations, which allows for more instruction, and generally a deeper experience of the poses."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,meditation,beginner,False,15 min,heart rate,Breathwork: Cooling Breath,"This class explains the technique of rolling the tongue into a tube, inhaling through the mouth and exhaling through the nose. In Sanskrit, this is known as sitali."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,30 min,"heart rate, calories",Power Yoga,"In this power yoga class, you will flow at a faster pace. Added poses and repetition of movements will help build strength. This class is recommended for students with previous yoga flow experience."
Chelsea Jackson Roberts,I want to be someone people relate to. I’ll encourage you as I push you.,yoga,intermediate,False,10 min,"heart rate, calories",Focus Flow: Sun Salutations,"This yoga flow class is composed primarily of multiple repeated rounds of sun salutations, the short sequence of poses typically used as a warm-up for a longer class."
